NER: FSEIS	Frequency: 43
NER: DM&E	Frequency: 4
NER: The Board	Frequency: 1
NER: lia	Frequency: 1
NER: I&M Rail Link	Frequency: 1
NER: Mi nnesota	Frequency: 1
NER: The Administrative Procedure Act	Frequency: 1
NER: anabuseofdiscretion	Frequency: 2
NER: "5U.S.C.§706(2)(A).-8-InreviewingtheBoard'sdecision	Frequency: 1
NER: NaturalRes	Frequency: 2
NER: Council,Inc.	Frequency: 1
NER: thatDM&E'sacquisitionofIMRLconstitutes"significantnewcircumstances"thatshouldgiverisetotheconsiderationofthisnewlineasanalternativetoroutingtrainsthroughRochester	Frequency: 1
NER: STBFinanceDocketNo.33407at19,2006WL383507,at*14(STBservedFeb.15,2006)(hereafterSTB2006Decision).TheBoardisrequiredtoconsiderall"reasonable"alternatives	Frequency: 1
NER: AswesaidinCityofRichfield	Frequency: 1
NER: Minn.v	Frequency: 1
NER: F.A.A.,152F.3d905,907(8thCir.1998),an"alternativeisunreasonableifitdoesnotfulfillthepurposeoftheproject	Frequency: 1
NER: Inc.v	Frequency: 1
NER: Busey,938F.2d190,195(D.C.Cir.1991),cert.denied,502U.S.994(1991).-9-EventhoughtheBoard'sdecisiondoesnotexplicitlystatethatitdidnotconsidertheIMRLalternativebecausethatrouteissimplyinconsistentwiththeproject'spurposes	Frequency: 1
NER: MN;(2)I&MRailLinkatOwatonna	Frequency: 1
NER: CPandI&MatWinona	Frequency: 1
NER: STBFinanceDocketNo.33407,3S.T.B.847,900,1998WL869567,at*31(Dec.9,1998)(emphasisadded)(hereafterSTB1998Decision).RemovingtheabilitytoroutetrainsthroughRochester	Frequency: 1
NER: totheconnectionpointatWinona	Frequency: 1
NER: TheBoardalsodiscussedatlengthinits1998decisionthecompetitiveadvantagesofaPRBconnectionaddedtotheDM&Eline	Frequency: 1
NER: moredirectrouteascomparedtoitswould-becompetitorstransportingPRBcoaltoeasternmarkets	Frequency: 1
NER: Forexample	Frequency: 5
NER: wefindadequatesupportintherecord	Frequency: 1
NER: "STB1998Decisionat878,1998WL869567,at*17.TheBoardfurtherfoundthat"DM&E'sassertionthatitwouldgaina61%shareofthetonnageoftheUpperMidwestRailmarketisbasedonitsmileageadvantagetoplantsaccountingforamajorityofthetonnagesinthatmarket	Frequency: 1
NER: wethinkthatDM&E'sargumentthatitwouldbecomethedominantrailcarrierofcoalintheUpperMidwestmarketissupportedonthepresentrecord	Frequency: 1
NER: astheBoardpointsoutinitsbriefinthisappeal	Frequency: 1
NER: theDM&EroutethroughRochester"wouldbeabout150milesshorterformovementstocertainkeyplantsinWisconsinthanacircuitousDM&E-IMRLroutethroughOwatonnathatPetitionerswouldhavetheBoardforceonDM&E."WithrespecttotheIMRLacquisition	Frequency: 1
NER: improvedservicepatterns	Frequency: 1
NER: ThesebeneficialeffectsforshippersprovideadditionalsupportforapprovaloftheDM&E	Frequency: 1
NER: Minn.&EasternR.R.Corp.andCedarAm	Frequency: 1
NER: RailHoldings	Frequency: 1
NER: ControlIowa	Frequency: 1
NER: andthisexamination	Frequency: 1
NER: MidStates,345F.3dat536.Onremand	Frequency: 1
NER: otherthantorequireDM&E'scommunityliaisonstoassistintheestablishmentofquietzonesuponrequestfromcommunitiesinterestedinestablishingthem.	Frequency: 1
